age,job_n,marital_n,education_n,default_n,housing_n,loan_n,contact_n,month_n,day_of_week_n,campaign,pdays,previous,poutcome_n,cons.price.idx,cons.conf.idx
51.0,4,0,2,1,1,1,0,0,4,1.0,999.0,0.0,0,93.994,-36.4
50.0,3,0,3,0,1,0,0,0,3,2.0,999.0,0.0,0,93.994,-36.4
29.0,8,1,4,0,1,0,1,0,2,2.0,999.0,0.0,1,92.893,-46.2
42.0,1,0,6,0,1,0,1,8,0,6.0,999.0,0.0,0,93.075,-47.1
25.0,4,1,4,0,1,0,1,2,0,2.0,999.0,0.0,0,93.918,-42.7
41.0,3,0,1,0,1,0,0,0,4,1.0,999.0,0.0,0,93.994,-36.4
30.0,2,1,1,0,1,1,1,2,1,1.0,999.0,0.0,0,93.918,-42.7
30.0,3,0,0,0,0,1,1,0,0,1.0,999.0,0.0,0,92.893,-46.2
33.0,3,1,1,0,1,0,0,0,2,2.0,999.0,0.0,0,93.994,-36.4
29.0,1,0,1,1,0,0,1,2,2,4.0,999.0,0.0,0,93.918,-42.7
45.0,6,0,6,0,0,0,1,5,1,2.0,999.0,0.0,0,93.2,-42.0
36.0,3,0,3,1,0,0,1,2,3,1.0,999.0,0.0,0,93.918,-42.7
45.0,3,0,0,1,0,0,0,0,1,1.0,999.0,0.0,0,93.994,-36.4
49.0,0,0,4,0,1,0,1,2,3,2.0,999.0,0.0,0,93.918,-42.7
31.0,2,1,6,0,1,1,1,8,0,5.0,999.0,0.0,1,93.075,-47.1
32.0,4,0,4,0,0,0,1,4,2,2.0,999.0,0.0,1,94.601,-49.5
50.0,4,0,1,0,0,0,1,6,0,3.0,999.0,0.0,0,92.713,-33.0
37.0,2,0,6,1,1,0,1,3,0,1.0,999.0,0.0,0,93.444,-36.1
26.0,1,1,1,0,1,0,0,0,1,1.0,999.0,0.0,0,93.994,-36.4
45.0,1,0,1,0,1,0,1,3,3,1.0,999.0,0.0,0,93.444,-36.1
55.0,2,0,1,0,0,0,0,0,3,1.0,999.0,0.0,0,93.994,-36.4
36.0,3,0,0,1,1,0,1,2,1,6.0,999.0,0.0,0,93.918,-42.7
59.0,5,0,4,0,1,1,1,1,0,1.0,999.0,0.0,0,92.963,-40.8
39.0,3,0,3,1,1,1,0,0,1,2.0,999.0,0.0,0,93.994,-36.4
28.0,11,0,6,0,0,1,0,0,3,2.0,999.0,0.0,0,93.994,-36.4
36.0,4,0,1,0,0,0,1,8,0,1.0,999.0,0.0,0,93.075,-47.1
52.0,6,2,6,0,1,0,1,5,0,1.0,999.0,0.0,0,93.2,-42.0
26.0,2,1,1,0,0,0,1,2,4,2.0,999.0,0.0,0,93.918,-42.7
46.0,3,0,2,0,1,0,0,0,3,6.0,999.0,0.0,0,93.994,-36.4
42.0,3,0,2,0,1,1,1,5,1,1.0,999.0,0.0,0,93.2,-42.0
30.0,6,1,1,0,0,1,1,0,2,2.0,999.0,0.0,0,92.893,-46.2
43.0,2,0,1,0,0,0,0,0,1,2.0,999.0,0.0,0,93.994,-36.4
28.0,3,1,0,1,1,0,0,2,4,2.0,999.0,0.0,0,93.918,-42.7
35.0,3,0,3,0,0,0,0,0,2,1.0,999.0,0.0,0,93.994,-36.4
52.0,2,0,1,0,0,0,1,2,4,1.0,999.0,0.0,0,93.918,-42.7
31.0,2,1,6,1,1,1,1,0,4,1.0,999.0,0.0,0,92.893,-46.2
52.0,2,2,6,1,0,0,1,2,1,1.0,999.0,0.0,0,93.918,-42.7
64.0,5,0,6,0,0,0,1,7,4,1.0,999.0,0.0,2,93.369,-34.8
55.0,3,0,0,0,1,0,0,2,1,1.0,999.0,0.0,0,93.918,-42.7
40.0,3,0,3,1,1,1,1,0,2,2.0,999.0,0.0,1,92.893,-46.2
49.0,2,0,1,1,0,0,1,4,2,1.0,999.0,0.0,2,94.601,-49.5
53.0,2,0,6,0,0,0,0,0,3,6.0,999.0,0.0,0,93.994,-36.4
25.0,11,1,5,0,0,0,0,2,0,3.0,999.0,0.0,0,92.469,-33.6
44.0,4,1,5,1,1,0,0,0,0,1.0,999.0,0.0,0,93.994,-36.4
50.0,10,0,4,0,1,0,0,2,3,2.0,999.0,0.0,0,93.918,-42.7
48.0,0,0,1,0,0,0,0,1,1,1.0,999.0,0.0,0,94.465,-41.8
34.0,2,0,6,0,1,0,1,0,4,3.0,999.0,0.0,0,92.893,-46.2
46.0,1,0,1,0,1,0,1,5,0,3.0,999.0,0.0,0,93.2,-42.0
30.0,4,0,4,0,0,0,1,3,1,1.0,999.0,0.0,0,93.444,-36.1
47.0,8,0,3,0,1,0,1,2,2,6.0,999.0,0.0,0,93.918,-42.7
31.0,2,1,6,1,0,1,1,3,3,1.0,999.0,0.0,0,93.444,-36.1
36.0,2,0,1,1,1,0,1,3,3,3.0,999.0,0.0,0,93.444,-36.1
43.0,2,0,6,0,1,0,1,1,2,2.0,999.0,0.0,2,92.963,-40.8
20.0,11,1,3,0,1,0,1,2,3,3.0,999.0,0.0,2,94.215,-40.3
29.0,1,2,1,0,0,1,0,0,0,6.0,999.0,0.0,0,93.994,-36.4
65.0,5,0,0,0,0,0,1,4,4,2.0,999.0,0.0,2,94.601,-49.5
36.0,1,0,1,0,1,0,1,5,0,2.0,999.0,0.0,0,93.2,-42.0
27.0,11,1,6,0,1,0,0,0,2,6.0,999.0,0.0,0,93.994,-36.4
51.0,4,0,6,1,1,1,1,2,2,1.0,999.0,0.0,0,93.918,-42.7
34.0,2,1,6,0,0,0,1,5,4,6.0,999.0,0.0,1,93.2,-42.0
50.0,0,2,0,1,1,1,0,1,1,6.0,999.0,0.0,0,94.465,-41.8
42.0,4,0,6,0,0,0,0,5,3,2.0,999.0,0.0,0,93.2,-42.0
47.0,2,2,6,1,0,0,1,5,0,2.0,999.0,0.0,0,93.2,-42.0
30.0,1,1,1,0,0,0,0,0,3,2.0,999.0,0.0,0,93.994,-36.4
